self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,,
0.09,3,0.952800196,0.494,0.496732026,0.912,0.643159379,0.924,,,,,,,,,,
0.15,5,0.763511861,0.6138,0.597766323,0.6958,0.643068392,0.4682,,,,,,,,,,
0.17,2,0.926876987,0.5363,0.522713052,0.8354,0.64306058,0.7628,,,,,,,,,,
0.16,7,0.761066275,0.6136,0.597527473,0.696,0.643015521,0.4688,,,,,,,,,,
0.01,19,0.928344338,0.5172,0.510093897,0.8692,0.642899408,0.8348,,,,,,,,,,
0.03,7,0.944974321,0.5065,0.503691085,0.887,0.642520826,0.874,,,,,,,,,,
0.03,12,0.932746393,0.4947,0.497097799,0.9078,0.64241738,0.9184,,,,,,,,,,
0.06,6,0.926143311,0.5179,0.510553001,0.866,0.64238558,0.8302,,,,,,,,,,
0.06,28,0.817070188,0.5786,0.557981706,0.7564,0.642214298,0.5992,,,,,,,,,,
0.19,2,0.916360968,0.5354,0.522180451,0.8334,0.642064715,0.7626,,,,,,,,,,
0.24,1,0.929322573,0.5225,0.513490826,0.8564,0.642027138,0.8114,,,,,,,,,,
0.14,11,0.785277574,0.6033,0.584992595,0.711,0.641870543,0.5044,,,,,,,,,,
0.03,15,0.908535094,0.5316,0.519568987,0.839,0.641731681,0.7758,,,,,,,,,,
0.17,4,0.782831988,0.607,0.589674824,0.7036,0.641619551,0.4896,,,,,,,,,,
0.11,3,0.942284177,0.4888,0.493952484,0.9148,0.641514727,0.9372,,,,,,,,,,
0.13,8,0.84250428,0.5786,0.558204976,0.7538,0.641422737,0.5966,,,,,,,,,,
0.08,5,0.906823184,0.5256,0.515556636,0.8484,0.641366798,0.7972,,,,,,,,,,
0.24,3,0.75862069,0.6165,0.602354595,0.6856,0.641287064,0.4526,,,,,,,,,,
0.02,16,0.942528736,0.5014,0.500787047,0.8908,0.64114006,0.888,,,,,,,,,,
0.01,14,0.92638787,0.5242,0.514652458,0.85,0.641122341,0.8016,,,,,,,,,,
0.26,9,0.576913671,0.6982,0.790957134,0.5388,0.640970735,0.1424,,,,,,,,,,
0.01,23,0.919051113,0.5149,0.508755435,0.8658,0.640906063,0.836,,,,,,,,,,
0.02,23,0.920518464,0.5098,0.50566605,0.8746,0.640826495,0.855,,,,,,,,,,
0.32,3,0.345561262,0.7157,0.869982847,0.5072,0.640808591,0.0758,,,,,,,,,,
0.18,17,0.584250428,0.6828,0.738891793,0.5654,0.640607297,0.1998,,,,,,,,,,
