threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
2.07,0.7084048,0.7143,0.88501617,0.4926,0.632917898,0.064,,,,,,,,,
2.08,0.7049743,0.7135,0.884962135,0.4908,0.631416442,0.0638,,,,,,,,,
2.09,0.70154375,0.7132,0.885115607,0.49,0.630792997,0.0636,,,,,,,,,
2.1,0.69468266,0.7126,0.885144928,0.4886,0.629639175,0.0634,,,,,,,,,
2.11,0.6912522,0.7123,0.885299456,0.4878,0.62901354,0.0632,,,,,,,,,
2.12,0.6912522,0.7117,0.8856102,0.4862,0.627759845,0.0628,,,,,,,,,
2.13,0.6843911,0.7117,0.886454911,0.4856,0.62747125,0.0622,,,,,,,,,
2.14,0.6740995,0.7108,0.886363636,0.4836,0.625776398,0.062,,,,,,,,,
2.15,0.6620926,0.7095,0.886388786,0.4806,0.623265465,0.0616,,,,,,,,,
2.16,0.6586621,0.7093,0.887162412,0.4796,0.622614566,0.061,,,,,,,,,
2.17,0.6586621,0.7085,0.887402453,0.4776,0.620985568,0.0606,,,,,,,,,
2.18,0.6586621,0.7077,0.888224299,0.4752,0.619153094,0.0598,,,,,,,,,
2.19,0.65523154,0.7056,0.887339864,0.471,0.615364515,0.0598,,,,,,,,,
2.2,0.65180105,0.7046,0.888677812,0.4678,0.612945493,0.0586,,,,,,,,,
2.21,0.6415094,0.7039,0.889568208,0.4656,0.611264277,0.0578,,,,,,,,,
2.22,0.6346484,0.7025,0.889572913,0.4624,0.608501119,0.0574,,,,,,,,,
2.23,0.63121784,0.7008,0.890661479,0.4578,0.604755614,0.0562,,,,,,,,,
2.24,0.6277873,0.6995,0.890716804,0.4548,0.602144843,0.0558,,,,,,,,,
2.25,0.62092626,0.6991,0.890851983,0.4538,0.601298529,0.0556,,,,,,,,,
2.26,0.6140652,0.698,0.890995261,0.4512,0.599044079,0.0552,,,,,,,,,
2.27,0.6037736,0.6959,0.891017964,0.4464,0.594803464,0.0546,,,,,,,,,
2.28,0.593482,0.6944,0.891304348,0.4428,0.591662213,0.054,,,,,,,,,
2.29,0.5900515,0.6939,0.892351275,0.441,0.590282425,0.0532,,,,,,,,,
2.3,0.57975984,0.6921,0.891880865,0.4372,0.586766877,0.053,,,,,,,,,
2.31,0.56946826,0.6912,0.891803279,0.4352,0.584946237,0.0528,,,,,,,,,
2.32,0.5591767,0.6884,0.890547264,0.4296,0.579600648,0.0528,,,,,,,,,
2.33,0.5591767,0.6848,0.890532544,0.4214,0.572087972,0.0518,,,,,,,,,
2.34,0.54888505,0.6842,0.890916808,0.4198,0.570690593,0.0514,,,,,,,,,
2.35,0.542024,0.6829,0.890979051,0.4168,0.567924785,0.051,,,,,,,,,
2.36,0.5283019,0.6818,0.890799656,0.4144,0.565656566,0.0508,,,,,,,,,
2.37,0.5214408,0.6814,0.891623489,0.413,0.564516129,0.0502,,,,,,,,,
2.38,0.5180103,0.6795,0.892435505,0.4082,0.560175655,0.0492,,,,,,,,,
2.39,0.5145798,0.6783,0.892558344,0.4054,0.55755742,0.0488,,,,,,,,,
2.4,0.50600344,0.6771,0.892682927,0.4026,0.554927636,0.0484,,,,,,,,,
2.41,0.49571183,0.6761,0.89360751,0.3998,0.552438856,0.0476,,,,,,,,,
2.42,0.4871355,0.675,0.893789379,0.3972,0.549986153,0.0472,,,,,,,,,
2.43,0.47684392,0.6739,0.89397372,0.3946,0.547523241,0.0468,,,,,,,,,
2.44,0.46655232,0.6726,0.894424132,0.3914,0.544518642,0.0462,,,,,,,,,
2.45,0.4528302,0.6702,0.893981481,0.3862,0.539385475,0.0458,,,,,,,,,
2.46,0.4425386,0.6691,0.894172494,0.3836,0.536878936,0.0454,,,,,,,,,
2.47,0.432247,0.6682,0.894835681,0.3812,0.534642356,0.0448,,,,,,,,,
2.48,0.432247,0.6671,0.895409371,0.3784,0.531983692,0.0442,,,,,,,,,
2.49,0.42538592,0.6641,0.895040924,0.3718,0.525363855,0.0436,,,,,,,,,
2.5,0.41509435,0.6618,0.895019531,0.3666,0.52014756,0.043,,,,,,,,,
2.51,0.41509435,0.6592,0.893669634,0.3614,0.514668186,0.043,,,,,,,,,
2.52,0.41509435,0.6586,0.893353175,0.3602,0.513397948,0.043,,,,,,,,,
2.53,0.40137222,0.6577,0.894447224,0.3576,0.510930133,0.0422,,,,,,,,,
2.54,0.38421956,0.6566,0.895055499,0.3548,0.50816385,0.0416,,,,,,,,,
2.55,0.36878216,0.6556,0.895727365,0.3522,0.505598622,0.041,,,,,,,,,
2.56,0.35849056,0.6541,0.894925679,0.3492,0.502373759,0.041,,,,,,,,,
2.57,0.3516295,0.6528,0.894628099,0.3464,0.499423299,0.0408,,,,,,,,,
2.58,0.34476843,0.6504,0.894129979,0.3412,0.493920093,0.0404,,,,,,,,,
2.59,0.32933104,0.6475,0.892914225,0.3352,0.487421841,0.0402,,,,,,,,,
2.6,0.32246998,0.6439,0.892098093,0.3274,0.479005121,0.0396,,,,,,,,,
2.61,0.32246998,0.6416,0.892896781,0.3218,0.473096148,0.0386,,,,,,,,,
2.62,0.31903946,0.6376,0.891353811,0.3134,0.463746671,0.0382,,,,,,,,,
2.63,0.31560892,0.6362,0.891829689,0.31,0.460077174,0.0376,,,,,,,,,
2.64,0.31389365,0.636,0.894431555,0.3084,0.458655562,0.0364,,,,,,,,,
